date,close,volume,open,high,low
04/01/2026,$353.80,"5,974,768",$345.285,$359.00,$341.43
03/31/2026,$341.79,"8,335,566",$328.83,$342.06,$325.46
03/30/2026,$323.12,"6,568,103",$344.00,$344.54,$320.69
03/27/2026,$337.17,"5,984,796",$337.63,$345.6924,$334.34
03/26/2026,$338.55,"9,260,967",$358.365,$359.48,$337.53
03/25/2026,$369.34,"5,052,006",$371.00,$375.68,$360.66
03/24/2026,$373.99,"6,406,241",$358.16,$379.99,$358.00
03/23/2026,$361.79,"6,490,661",$367.82,$374.25,$361.45
03/20/2026,$357.06,"17,587,860",$359.77,$362.00,$346.66
03/19/2026,$357.21,"6,459,706",$340.74,$359.05,$338.09
03/18/2026,$349.47,"5,170,497",$353.39,$357.855,$349.23
03/17/2026,$352.46,"4,833,889",$346.18,$352.8145,$343.01
03/16/2026,$346.18,"4,427,025",$347.70,$350.7499,$343.57
03/13/2026,$341.53,"5,332,197",$342.47,$349.2499,$340.28
03/12/2026,$337.27,"5,978,201",$344.19,$345.48,$334.01
03/11/2026,$351.07,"4,517,227",$348.00,$353.00,$343.53
03/10/2026,$345.88,"6,121,075",$339.85,$355.275,$339.00
03/09/2026,$338.94,"9,504,107",$320.48,$339.16,$316.66
03/06/2026,$324.74,"8,655,215",$329.52,$341.40,$321.74
03/05/2026,$346.53,"5,905,738",$351.035,$354.76,$336.30
03/04/2026,$357.76,"5,980,360",$359.22,$362.34,$350.7001
03/03/2026,$351.32,"7,982,042",$350.90,$359.53,$348.5934
03/02/2026,$372.18,"5,802,068",$366.58,$373.81,$363.28
02/27/2026,$372.30,"9,041,372",$365.94,$378.58,$365.6115
02/26/2026,$375.72,"7,717,136",$391.80,$393.47,$366.5401
02/25/2026,$394.95,"9,745,022",$385.00,$395.95,$384.00
02/24/2026,$377.93,"5,711,768",$376.59,$380.51,$368.001
02/23/2026,$373.55,"6,077,445",$372.40,$378.8599,$369.68
02/20/2026,$375.38,"8,178,683",$366.265,$377.11,$366.265
02/19/2026,$369.83,"6,640,140",$362.20,$370.07,$360.40
02/18/2026,$369.30,"8,784,291",$361.63,$373.995,$359.26
02/17/2026,$359.13,"8,791,276",$351.00,$362.63,$347.66
02/13/2026,$354.91,"15,706,020",$364.95,$376.32,$353.26
02/12/2026,$328.39,"9,764,434",$339.88,$341.07,$325.56
02/11/2026,$339.88,"7,160,914",$337.905,$344.34,$330.89
02/10/2026,$329.07,"6,785,829",$329.855,$334.61,$321.52
02/09/2026,$330.57,"7,458,948",$317.56,$332.40,$316.10
02/06/2026,$322.51,"8,344,434",$309.41,$324.3999,$308.2962
02/05/2026,$303.99,"8,514,321",$300.07,$304.35,$292.32
02/04/2026,$297.60,"14,719,410",$323.99,$323.99,$287.4901
02/03/2026,$318.67,"10,697,030",$336.94,$338.44,$311.95
02/02/2026,$328.40,"7,409,582",$320.60,$330.44,$319.85
01/30/2026,$322.32,"9,814,060",$332.925,$340.95,$321.54
01/29/2026,$341.34,"7,350,542",$340.735,$344.60,$328.88
01/28/2026,$336.75,"8,470,041",$341.93,$344.04,$332.96
01/27/2026,$332.71,"8,032,954",$324.445,$336.47,$323.285
01/26/2026,$319.46,"4,777,183",$322.00,$322.00,$316.57
01/23/2026,$322.38,"6,200,984",$318.98,$323.6399,$311.07
01/22/2026,$318.785,"6,036,095",$332.99,$333.03,$317.456
01/21/2026,$325.24,"7,913,957",$319.48,$328.69,$316.91
01/20/2026,$318.23,"9,387,315",$316.10,$324.49,$315.7002
01/16/2026,$327.01,"11,399,270",$325.715,$330.185,$320.17
01/15/2026,$319.08,"11,262,840",$328.08,$331.00,$318.83
01/14/2026,$301.89,"6,545,166",$301.47,$301.94,$297.00
01/13/2026,$304.87,"7,146,521",$307.06,$310.6413,$302.59
01/12/2026,$307.24,"6,612,806",$301.715,$309.50,$300.585
01/09/2026,$301.18,"9,427,640",$288.40,$302.78,$286.50
01/08/2026,$281.64,"5,500,686",$290.70,$291.915,$279.45
01/07/2026,$292.20,"6,148,356",$292.00,$295.25,$290.00
01/06/2026,$296.01,"7,237,927",$285.43,$298.22,$285.43
01/05/2026,$284.32,"10,398,710",$276.12,$287.74,$276.12
01/02/2026,$268.87,"7,553,217",$267.08,$271.23,$265.10
12/31/2025,$256.99,"3,025,778",$261.47,$261.83,$255.96
12/30/2025,$259.97,"2,185,127",$264.19,$265.014,$259.78
12/29/2025,$263.05,"2,601,560",$260.82,$264.651,$260.00
12/26/2025,$261.90,"1,836,042",$261.84,$262.9399,$260.20
12/24/2025,$260.78,"1,279,508",$260.23,$261.4799,$259.33
12/23/2025,$260.23,"3,791,496",$258.16,$260.45,$257.88
12/22/2025,$259.01,"4,181,985",$262.83,$262.83,$257.60
12/19/2025,$256.41,"25,749,750",$255.705,$261.32,$253.58
12/18/2025,$253.50,"8,741,172",$259.09,$260.82,$252.225
12/17/2025,$248.27,"7,855,446",$258.16,$260.098,$246.92
12/16/2025,$258.84,"5,859,741",$259.79,$261.58,$255.30
12/15/2025,$261.27,"6,405,964",$263.43,$265.69,$259.79
12/12/2025,$259.21,"6,739,294",$267.26,$269.71,$257.13
12/11/2025,$270.11,"7,061,221",$271.22,$271.985,$262.83
12/10/2025,$275.15,"6,244,572",$266.77,$276.10,$265.86
12/09/2025,$267.14,"4,062,592",$266.07,$268.71,$264.73
12/08/2025,$268.16,"5,338,147",$269.495,$272.16,$266.54
12/05/2025,$268.00,"5,373,412",$269.79,$273.59,$267.36
12/04/2025,$269.44,"6,348,761",$268.335,$272.7649,$266.00
12/03/2025,$268.63,"7,999,577",$265.30,$269.15,$259.7101
12/02/2025,$265.33,"9,196,769",$255.625,$267.0499,$255.625
12/01/2025,$254.75,"6,842,394",$250.23,$255.79,$248.53
11/28/2025,$252.25,"2,916,326",$250.795,$252.48,$247.85
11/26/2025,$249.97,"8,791,060",$242.83,$252.66,$242.83
11/25/2025,$242.46,"8,330,341",$237.55,$244.62,$233.135
11/24/2025,$230.91,"8,806,555",$222.86,$233.20,$222.86
11/21/2025,$224.005,"8,596,770",$219.20,$228.16,$215.495
11/20/2025,$220.23,"9,263,965",$238.785,$240.76,$218.96
11/19/2025,$235.13,"8,870,502",$227.29,$235.91,$226.50
11/18/2025,$225.12,"12,167,360",$226.48,$227.62,$219.42
11/17/2025,$228.71,"8,713,644",$224.20,$231.71,$223.255
11/14/2025,$226.01,"15,254,390",$203.75,$226.16,$203.40
11/13/2025,$223.23,"13,465,860",$227.39,$229.00,$219.63
11/12/2025,$230.73,"5,955,373",$231.23,$231.835,$228.90
11/11/2025,$228.67,"6,237,600",$232.57,$233.25,$227.00
11/10/2025,$235.08,"7,673,744",$236.23,$236.54,$232.06
11/07/2025,$230.07,"6,892,795",$232.265,$232.52,$223.38
11/06/2025,$233.53,"9,278,439",$240.77,$240.77,$232.9301
11/05/2025,$240.89,"7,230,832",$230.19,$241.91,$230.10
11/04/2025,$230.19,"6,896,422",$231.42,$236.9699,$229.77
11/03/2025,$237.71,"6,160,630",$235.67,$239.79,$234.00
10/31/2025,$233.10,"6,532,964",$233.735,$237.9075,$230.45
10/30/2025,$232.55,"7,317,726",$237.78,$242.50,$232.08
10/29/2025,$235.75,"7,784,456",$232.90,$237.39,$232.00
10/28/2025,$227.64,"6,118,502",$229.68,$231.015,$227.08
10/27/2025,$231.33,"7,671,698",$233.00,$235.79,$231.13
10/24/2025,$228.75,"5,346,676",$229.00,$230.72,$226.29
10/23/2025,$228.47,"7,001,931",$218.39,$230.55,$218.12
10/22/2025,$220.56,"7,498,073",$226.00,$226.77,$216.065
10/21/2025,$226.00,"4,557,485",$225.92,$228.16,$225.21
10/20/2025,$228.13,"5,494,792",$227.145,$231.33,$226.53
10/17/2025,$224.99,"5,272,810",$226.47,$227.36,$222.70
10/16/2025,$227.72,"7,742,842",$230.595,$232.07,$224.03
10/15/2025,$227.58,"8,033,603",$223.955,$228.10,$220.52
10/14/2025,$218.19,"8,260,006",$213.90,$221.65,$213.71
10/13/2025,$219.48,"7,853,006",$220.35,$221.13,$217.03
10/10/2025,$209.95,"12,829,660",$220.70,$224.4684,$209.73
10/09/2025,$220.30,"6,701,398",$217.00,$220.86,$215.51
10/08/2025,$217.51,"7,875,462",$210.00,$218.65,$209.00
10/07/2025,$211.56,"10,543,320",$223.91,$224.83,$211.27
10/06/2025,$223.91,"7,891,854",$222.34,$226.49,$220.77
10/03/2025,$217.53,"9,269,817",$219.91,$220.50,$215.60
10/02/2025,$223.59,"11,166,000",$225.00,$226.41,$218.73
10/01/2025,$217.74,"12,699,240",$204.74,$218.44,$203.61
09/30/2025,$204.74,"12,253,830",$204.355,$210.27,$202.87
09/29/2025,$204.95,"9,295,427",$206.34,$210.50,$204.68
09/26/2025,$203.92,"7,363,317",$200.00,$205.20,$197.3866
09/25/2025,$199.60,"6,027,565",$199.04,$200.72,$196.20
09/24/2025,$201.44,"6,360,493",$199.08,$203.7499,$197.40
09/23/2025,$200.87,"12,417,870",$201.23,$204.10,$198.80
09/22/2025,$200.52,"15,475,540",$193.185,$201.15,$192.43
09/19/2025,$190.10,"18,903,500",$190.815,$191.85,$188.6601
09/18/2025,$189.76,"15,473,650",$188.00,$191.55,$183.83
09/17/2025,$178.13,"9,588,307",$174.25,$179.5486,$173.97
09/16/2025,$173.54,"6,447,519",$172.46,$174.10,$171.58
09/15/2025,$170.93,"5,597,644",$169.11,$171.06,$168.5313
09/12/2025,$167.80,"5,170,573",$167.91,$169.67,$167.18
09/11/2025,$170.15,"8,999,907",$164.00,$170.66,$164.00
09/10/2025,$163.42,"5,690,240",$164.30,$165.40,$162.55
09/09/2025,$163.50,"5,315,373",$161.92,$164.26,$161.75
09/08/2025,$162.05,"7,933,594",$163.805,$164.645,$161.85
09/05/2025,$162.75,"7,046,829",$160.26,$162.85,$158.82
09/04/2025,$158.24,"6,245,060",$155.94,$159.67,$155.40
09/03/2025,$156.25,"7,335,044",$158.05,$158.05,$154.465
09/02/2025,$157.57,"7,683,373",$156.72,$158.30,$156.01
08/29/2025,$160.76,"7,202,136",$162.87,$163.661,$159.4301
08/28/2025,$165.27,"7,899,538",$164.72,$166.16,$163.74
08/27/2025,$164.39,"4,633,530",$163.26,$164.65,$162.55
08/26/2025,$164.51,"6,770,237",$162.01,$164.814,$161.68
08/25/2025,$161.99,"4,186,776",$162.31,$162.6226,$160.75
08/22/2025,$162.49,"7,448,112",$160.68,$165.00,$159.98
08/21/2025,$159.84,"8,294,875",$159.94,$161.29,$159.08
08/20/2025,$160.96,"9,323,294",$161.80,$161.97,$157.94
08/19/2025,$162.22,"8,921,472",$164.24,$165.20,$161.49
08/18/2025,$163.53,"10,125,800",$161.81,$164.55,$161.75
08/15/2025,$161.755,"31,803,280",$162.70,$167.50,$161.71
08/14/2025,$188.24,"10,992,440",$187.86,$190.03,$186.78
08/13/2025,$190.03,"5,923,360",$189.80,$191.14,$188.73
08/12/2025,$188.45,"5,918,458",$185.73,$189.73,$184.28
08/11/2025,$184.38,"7,815,999",$187.15,$189.72,$183.78
08/08/2025,$184.87,"4,338,737",$183.15,$185.38,$182.62
08/07/2025,$183.15,"6,616,587",$184.345,$186.80,$181.86
08/06/2025,$178.14,"5,857,823",$178.88,$179.235,$175.48
08/05/2025,$179.15,"5,291,996",$182.67,$183.26,$177.40
08/04/2025,$182.82,"4,189,343",$182.00,$183.00,$180.50
08/01/2025,$179.99,"8,393,193",$176.60,$181.63,$176.25
07/31/2025,$180.06,"11,375,450",$177.875,$181.47,$174.51
07/30/2025,$189.39,"4,018,496",$189.73,$190.87,$187.735
07/29/2025,$188.41,"4,605,413",$191.62,$192.448,$187.9476
07/28/2025,$190.27,"4,912,986",$189.01,$190.50,$188.625
07/25/2025,$185.69,"6,608,688",$185.81,$186.515,$184.1001
07/24/2025,$188.12,"4,819,916",$188.16,$190.0446,$187.07
07/23/2025,$187.01,"5,419,786",$187.68,$189.40,$186.14
07/22/2025,$187.14,"7,074,450",$192.27,$192.50,$185.13
07/21/2025,$192.61,"5,061,514",$190.79,$194.40,$190.7767
07/18/2025,$190.44,"4,757,107",$193.06,$193.57,$190.14
07/17/2025,$192.52,"5,704,041",$192.62,$194.0275,$191.945
07/16/2025,$194.81,"9,400,048",$194.00,$195.16,$189.75
07/15/2025,$199.29,"6,007,129",$200.075,$201.11,$198.495
07/14/2025,$197.10,"7,263,986",$195.61,$198.82,$194.485
07/11/2025,$197.93,"4,424,409",$196.85,$198.78,$196.15
07/10/2025,$198.03,"5,230,356",$198.00,$199.42,$196.65
07/09/2025,$195.39,"6,170,835",$195.80,$197.96,$194.235
07/08/2025,$194.99,"8,097,053",$192.135,$196.30,$191.52
07/07/2025,$190.78,"6,577,422",$189.04,$191.65,$188.61
07/03/2025,$191.05,"3,568,536",$189.35,$192.04,$189.27
07/02/2025,$190.01,"8,800,624",$182.63,$190.91,$181.63
07/01/2025,$183.76,"6,572,259",$182.44,$184.9344,$180.90
06/30/2025,$183.07,"4,070,695",$183.80,$184.77,$182.53
06/27/2025,$183.21,"14,202,820",$184.38,$185.80,$181.115
06/26/2025,$183.52,"5,199,682",$183.19,$184.50,$182.06
06/25/2025,$183.07,"5,431,798",$181.11,$183.21,$180.495
06/24/2025,$180.18,"7,254,464",$175.07,$180.52,$174.995
06/23/2025,$171.96,"6,838,843",$170.255,$172.29,$168.72
06/20/2025,$169.46,"18,396,640",$174.465,$175.37,$165.91
06/18/2025,$172.84,"4,946,925",$175.26,$175.26,$171.81
06/17/2025,$174.09,"6,631,417",$176.28,$178.32,$174.06
06/16/2025,$176.55,"6,712,899",$173.02,$176.8799,$172.7901
06/13/2025,$170.59,"5,297,102",$171.055,$173.575,$170.39
06/12/2025,$175.00,"4,468,520",$172.49,$175.3599,$172.28
06/11/2025,$172.79,"6,133,201",$174.24,$175.79,$170.33
06/10/2025,$173.77,"5,711,575",$170.58,$174.39,$169.99
06/09/2025,$169.79,"6,320,019",$167.81,$171.82,$167.81
06/06/2025,$166.74,"5,717,453",$165.44,$169.53,$165.44
06/05/2025,$164.19,"7,393,041",$163.22,$165.62,$161.0988
06/04/2025,$161.93,"5,990,639",$162.50,$163.48,$160.18
06/03/2025,$161.74,"6,355,432",$156.93,$161.95,$156.36
06/02/2025,$157.27,"5,875,258",$155.79,$157.62,$155.43
05/30/2025,$156.75,"15,273,620",$159.04,$159.23,$153.47
05/29/2025,$159.48,"6,846,250",$165.46,$165.54,$158.45
05/28/2025,$161.59,"6,727,191",$161.905,$163.6696,$160.88
05/27/2025,$161.83,"8,470,355",$160.625,$162.48,$159.17
05/23/2025,$157.51,"5,733,447",$156.635,$158.41,$155.66
05/22/2025,$160.52,"6,355,688",$160.69,$163.30,$160.28
05/21/2025,$162.23,"5,658,555",$163.54,$166.29,$161.669
05/20/2025,$165.73,"5,372,424",$165.05,$165.94,$164.23
05/19/2025,$165.94,"7,465,699",$162.54,$166.00,$162.37
05/16/2025,$165.57,"16,540,370",$168.43,$169.47,$161.92
05/15/2025,$174.75,"12,811,610",$171.75,$176.38,$171.20
05/14/2025,$174.14,"7,069,732",$173.445,$175.28,$173.05
05/13/2025,$173.03,"8,980,217",$168.87,$174.1799,$168.47
05/12/2025,$167.99,"11,724,100",$166.44,$169.7999,$165.65
05/09/2025,$155.61,"3,884,590",$156.93,$158.00,$154.65
05/08/2025,$156.00,"4,824,625",$158.03,$158.80,$155.81
05/07/2025,$155.81,"5,500,190",$153.355,$156.20,$151.51
05/06/2025,$153.03,"3,471,702",$152.002,$154.48,$151.90
05/05/2025,$154.61,"4,069,314",$154.11,$156.64,$153.845
05/02/2025,$155.10,"6,083,227",$152.79,$156.695,$152.685
05/01/2025,$148.96,"6,731,978",$151.64,$152.28,$148.74
04/30/2025,$150.71,"7,273,648",$145.97,$151.04,$144.71
04/29/2025,$149.55,"5,721,316",$149.00,$151.065,$147.905
04/28/2025,$150.79,"7,052,725",$150.79,$151.87,$147.51
04/25/2025,$151.55,"4,805,247",$148.20,$152.61,$147.87
04/24/2025,$150.17,"7,609,178",$147.61,$150.40,$145.35
04/23/2025,$143.58,"7,994,300",$144.845,$147.83,$142.74
04/22/2025,$138.30,"5,222,697",$137.18,$139.08,$136.32
04/21/2025,$135.555,"8,395,304",$135.13,$136.015,$132.80
04/17/2025,$137.46,"6,494,838",$138.99,$139.65,$136.94
04/16/2025,$138.19,"9,279,103",$137.82,$141.08,$134.35
04/15/2025,$145.45,"5,259,919",$144.97,$147.045,$144.24
04/14/2025,$144.53,"6,835,897",$146.88,$147.70,$142.14
04/11/2025,$144.94,"10,617,190",$138.57,$146.23,$135.50
04/10/2025,$138.24,"16,290,730",$142.23,$143.805,$133.49
04/09/2025,$149.73,"20,667,250",$129.58,$150.9641,$128.60
04/08/2025,$128.96,"16,423,700",$138.405,$140.70,$127.50
04/07/2025,$132.85,"18,941,910",$124.97,$141.57,$123.7365
04/04/2025,$126.95,"15,563,960",$129.11,$132.46,$123.94
04/03/2025,$135.51,"11,779,640",$141.00,$141.87,$135.40
04/02/2025,$147.75,"4,904,772",$144.03,$149.31,$143.84
04/01/2025,$145.66,"5,869,458",$144.10,$146.11,$141.80
03/31/2025,$145.12,"7,116,271",$142.772,$145.68,$141.16
03/28/2025,$145.06,"7,714,957",$148.80,$149.80,$144.12
03/27/2025,$147.68,"6,933,790",$149.83,$149.9024,$146.94
03/26/2025,$150.68,"4,853,836",$153.14,$153.99,$149.51
03/25/2025,$153.64,"5,093,720",$154.84,$154.95,$152.52
03/24/2025,$154.95,"5,855,208",$155.50,$156.27,$154.60
03/21/2025,$152.12,"15,911,330",$150.294,$152.19,$149.01
03/20/2025,$154.38,"5,480,259",$152.225,$155.615,$151.68
03/19/2025,$154.46,"4,426,507",$153.18,$157.075,$152.79
03/18/2025,$153.51,"4,282,336",$154.32,$154.94,$151.81
03/17/2025,$155.46,"4,764,341",$152.95,$157.21,$152.84
03/14/2025,$155.66,"5,138,783",$152.13,$156.5007,$152.13
03/13/2025,$149.95,"5,702,173",$148.89,$153.0588,$148.37
03/12/2025,$149.06,"8,482,229",$151.72,$151.72,$148.44
03/11/2025,$146.99,"7,739,928",$148.97,$150.5106,$145.37
03/10/2025,$149.99,"8,008,387",$152.42,$154.45,$147.88
03/07/2025,$155.68,"5,537,838",$151.46,$156.3474,$150.19
03/06/2025,$151.54,"6,967,778",$151.54,$154.05,$149.605
03/05/2025,$155.32,"5,859,954",$153.135,$155.87,$150.00
03/04/2025,$152.87,"8,538,627",$153.06,$156.23,$149.55
03/03/2025,$152.13,"9,259,111",$159.73,$160.32,$150.67
02/28/2025,$158.07,"9,427,575",$157.29,$160.05,$153.9513
02/27/2025,$156.64,"9,543,635",$170.25,$170.57,$156.375
02/26/2025,$168.51,"5,048,546",$167.38,$170.25,$166.42
02/25/2025,$165.54,"8,570,278",$168.12,$169.68,$164.45
02/24/2025,$168.57,"7,126,206",$173.77,$175.23,$168.34
02/21/2025,$171.98,"7,365,350",$176.13,$176.25,$170.60
02/20/2025,$176.01,"6,687,264",$175.14,$178.37,$174.50
02/19/2025,$174.06,"5,797,047",$172.305,$174.90,$171.13
02/18/2025,$172.00,"10,704,880",$171.79,$173.76,$169.10
02/14/2025,$169.20,"12,452,810",$174.84,$176.00,$168.61
02/13/2025,$184.27,"10,302,000",$180.31,$184.5175,$179.62
02/12/2025,$180.89,"6,640,831",$179.42,$181.53,$178.29
02/11/2025,$183.20,"3,913,262",$181.795,$183.58,$181.09
02/10/2025,$183.66,"5,744,135",$182.86,$184.03,$181.42
02/07/2025,$180.00,"4,991,954",$183.14,$183.54,$178.73
02/06/2025,$182.80,"4,479,079",$179.61,$183.08,$178.56
02/05/2025,$180.67,"3,959,496",$176.73,$181.01,$175.28
02/04/2025,$178.56,"4,687,114",$175.47,$179.30,$175.45
02/03/2025,$178.80,"5,321,278",$175.32,$180.25,$174.24
01/31/2025,$180.35,"5,902,833",$182.585,$186.44,$180.0612
01/30/2025,$181.72,"6,013,770",$179.395,$183.27,$177.46
01/29/2025,$175.28,"5,679,925",$180.00,$180.21,$173.78
01/28/2025,$172.85,"7,360,510",$173.75,$174.83,$170.00
01/27/2025,$174.57,"12,150,240",$179.55,$179.56,$170.4201
01/24/2025,$186.75,"6,088,398",$190.89,$191.275,$185.61
01/23/2025,$190.70,"6,307,345",$190.13,$191.20,$187.79
01/22/2025,$195.51,"7,288,595",$196.825,$200.55,$195.325
01/21/2025,$192.87,"7,959,064",$194.74,$195.22,$190.82
01/17/2025,$192.05,"8,115,101",$193.00,$193.16,$188.79
01/16/2025,$186.48,"10,825,450",$185.80,$191.71,$183.01
01/15/2025,$178.38,"5,908,559",$176.75,$179.51,$175.88
01/14/2025,$173.65,"3,842,111",$171.86,$173.70,$170.315
01/13/2025,$170.86,"5,465,785",$169.10,$171.61,$167.73
01/10/2025,$171.65,"6,325,342",$174.72,$174.72,$169.505
01/08/2025,$176.99,"4,581,723",$177.75,$178.17,$174.84
01/07/2025,$177.82,"7,332,112",$180.07,$181.84,$176.3967
01/06/2025,$177.48,"8,475,462",$174.975,$180.375,$174.86
01/03/2025,$170.06,"5,721,416",$165.38,$170.42,$164.77
01/02/2025,$163.87,"4,169,023",$164.47,$166.71,$162.83
12/31/2024,$162.63,"3,565,535",$164.43,$165.18,$161.97
12/30/2024,$163.64,"4,763,085",$164.00,$164.97,$161.97
12/27/2024,$166.83,"3,599,555",$166.15,$167.20,$164.63
12/26/2024,$167.55,"2,796,316",$167.35,$168.8499,$166.75
12/24/2024,$168.37,"2,595,759",$167.43,$168.72,$166.90
12/23/2024,$167.46,"5,040,203",$164.77,$167.69,$164.165
12/20/2024,$163.59,"15,336,720",$159.98,$164.73,$158.958
12/19/2024,$161.44,"9,252,641",$162.785,$165.24,$161.03
12/18/2024,$165.45,"9,000,741",$170.94,$174.43,$164.55
12/17/2024,$170.34,"6,817,636",$169.00,$170.75,$168.37
12/16/2024,$169.41,"6,643,007",$170.035,$171.74,$168.85
12/13/2024,$169.35,"7,051,664",$169.095,$171.53,$167.77
12/12/2024,$169.08,"6,108,503",$169.70,$170.11,$166.81
12/11/2024,$171.13,"6,698,595",$169.73,$173.20,$169.485
12/10/2024,$168.17,"8,230,865",$173.50,$173.88,$167.44
12/09/2024,$171.86,"7,647,077",$171.97,$174.50,$170.21
12/06/2024,$173.02,"6,058,479",$172.16,$173.32,$171.35
12/05/2024,$172.03,"8,663,758",$176.54,$179.42,$170.55
12/04/2024,$181.16,"5,819,763",$185.34,$185.70,$180.45
12/03/2024,$183.16,"5,939,932",$181.21,$183.26,$180.80
12/02/2024,$183.265,"9,100,590",$175.48,$184.27,$174.71
11/29/2024,$174.71,"5,944,388",$176.38,$178.43,$174.26
11/27/2024,$171.32,"4,348,730",$173.20,$173.34,$168.7604
11/26/2024,$173.20,"6,517,076",$175.34,$175.485,$170.93
11/25/2024,$174.55,"8,926,467",$176.71,$177.19,$171.9326
11/22/2024,$174.88,"4,242,578",$175.12,$176.08,$173.38
11/21/2024,$175.75,"8,917,431",$171.22,$177.07,$171.0501
11/20/2024,$170.49,"6,197,305",$169.31,$170.525,$167.06
11/19/2024,$169.31,"8,651,084",$168.34,$169.96,$167.49
11/18/2024,$170.73,"8,331,082",$167.68,$171.67,$166.8501
11/15/2024,$168.88,"16,287,480",$168.335,$174.07,$167.33
11/14/2024,$186.00,"11,747,400",$186.775,$187.615,$185.09
11/13/2024,$182.79,"8,634,649",$184.07,$185.48,$182.52
